spamming_rate,divisiveness_rate,true_divisiveness,estimated_divisiveness
0.0,0.0,0.0,0.168
0.0,0.1,0.098,0.224
0.0,0.2,0.212,0.292
0.0,0.3,0.308,0.358
0.0,0.4,0.392,0.424
0.0,0.5,0.512,0.508
0.0,0.6,0.608,0.58
0.0,0.7,0.692,0.618
0.0,0.8,0.788,0.68
0.0,0.9,0.902,0.792
0.0,1.0,1.0,0.84
0.05,0.0,0.0,0.168
0.05,0.1,0.088,0.206
0.05,0.2,0.228,0.324
0.05,0.3,0.326,0.362
0.05,0.4,0.434,0.446
0.05,0.5,0.524,0.508
0.05,0.6,0.566,0.546
0.05,0.7,0.674,0.604
0.05,0.8,0.772,0.658
0.05,0.9,0.912,0.76
0.05,1.0,1.0,0.802
0.1,0.0,0.0,0.176
0.1,0.1,0.098,0.206
0.1,0.2,0.218,0.324
0.1,0.3,0.308,0.392
0.1,0.4,0.392,0.418
0.1,0.5,0.508,0.498
0.1,0.6,0.608,0.552
0.1,0.7,0.692,0.626
0.1,0.8,0.782,0.652
0.1,0.9,0.902,0.756
0.1,1.0,1.0,0.778
0.15,0.0,0.0,0.222
0.15,0.1,0.098,0.28
0.15,0.2,0.218,0.336
0.15,0.3,0.308,0.398
0.15,0.4,0.392,0.452
0.15,0.5,0.508,0.502
0.15,0.6,0.608,0.55
0.15,0.7,0.692,0.626
0.15,0.8,0.782,0.674
0.15,0.9,0.902,0.744
0.15,1.0,1.0,0.776
0.2,0.0,0.0,0.218
0.2,0.1,0.098,0.278
0.2,0.2,0.218,0.356
0.2,0.3,0.308,0.38
0.2,0.4,0.392,0.446
0.2,0.5,0.508,0.524
0.2,0.6,0.608,0.56
0.2,0.7,0.692,0.584
0.2,0.8,0.782,0.642
0.2,0.9,0.902,0.698
0.2,1.0,1.0,0.776
0.25,0.0,0.0,0.294
0.25,0.1,0.084,0.308
0.25,0.2,0.186,0.366
0.25,0.3,0.298,0.396
0.25,0.4,0.392,0.426
0.25,0.5,0.514,0.488
0.25,0.6,0.608,0.54
0.25,0.7,0.702,0.6
0.25,0.8,0.814,0.64
0.25,0.9,0.916,0.698
0.25,1.0,1.0,0.692
