method,subpopulation_size,annotations_per_item,accuracy,f1
MACE,0.1,3,0.772,0.791970802919708
NUTMEG,0.1,3,0.616,0.47540983606557374
MACE,0.1,5,0.778,0.7940630797773655
NUTMEG,0.1,5,0.72,0.6601941747572816
MACE,0.1,7,0.786,0.7775467775467776
NUTMEG,0.1,7,0.792,0.8225255972696246
MACE,0.1,9,0.786,0.8007448789571695
NUTMEG,0.1,9,0.818,0.8008752735229759
MACE,0.1,10,0.8,0.7899159663865546
NUTMEG,0.1,10,0.84,0.8540145985401459
MACE,0.1,11,0.782,0.7833001988071571
NUTMEG,0.1,11,0.834,0.7970660146699267
MACE,0.1,13,0.784,0.7874015748031497
NUTMEG,0.1,13,0.894,0.8792710706150342
MACE,0.1,15,0.788,0.7791666666666667
NUTMEG,0.1,15,0.894,0.8998109640831758
MACE,0.2,3,0.786,0.8036697247706422
NUTMEG,0.2,3,0.736,0.6901408450704225
MACE,0.2,5,0.776,0.79182156133829
NUTMEG,0.2,5,0.846,0.8392484342379958
MACE,0.2,7,0.786,0.7775467775467776
NUTMEG,0.2,7,0.9,0.9060150375939849
MACE,0.2,9,0.786,0.8007448789571695
NUTMEG,0.2,9,0.926,0.9284332688588007
MACE,0.2,10,0.8,0.7899159663865546
NUTMEG,0.2,10,0.948,0.9475806451612904
MACE,0.2,11,0.782,0.7833001988071571
NUTMEG,0.2,11,0.954,0.9513742071881607
MACE,0.2,13,0.784,0.7874015748031497
NUTMEG,0.2,13,0.978,0.9779559118236473
MACE,0.2,15,0.788,0.7791666666666667
NUTMEG,0.2,15,0.986,0.9852631578947368
MACE,0.3,3,0.786,0.8058076225045372
NUTMEG,0.3,3,0.83,0.8652931854199684
MACE,0.3,5,0.79,0.8051948051948052
NUTMEG,0.3,5,0.918,0.9200779727095516
MACE,0.3,7,0.786,0.7775467775467776
NUTMEG,0.3,7,0.96,0.9598393574297188
MACE,0.3,9,0.786,0.8007448789571695
NUTMEG,0.3,9,0.988,0.9890909090909091
MACE,0.3,10,0.8,0.7899159663865546
NUTMEG,0.3,10,0.978,0.976545842217484
MACE,0.3,11,0.782,0.7833001988071571
NUTMEG,0.3,11,0.984,0.9836065573770492
MACE,0.3,13,0.784,0.7874015748031497
NUTMEG,0.3,13,0.984,0.9838056680161943
MACE,0.3,15,0.788,0.7791666666666667
NUTMEG,0.3,15,1.0,1.0
MACE,0.4,3,0.862,0.8733944954128441
NUTMEG,0.4,3,0.858,0.8548057259713702
MACE,0.4,5,0.812,0.8252788104089219
NUTMEG,0.4,5,0.95,0.9527410207939508
MACE,0.4,7,0.808,0.8008298755186722
NUTMEG,0.4,7,0.99,0.9895615866388309
MACE,0.4,9,0.79,0.8051948051948052
NUTMEG,0.4,9,0.994,0.9945553539019963
MACE,0.4,10,0.808,0.7983193277310925
NUTMEG,0.4,10,0.998,0.9978947368421053
MACE,0.4,11,0.782,0.7833001988071571
NUTMEG,0.4,11,0.994,0.9938650306748467
MACE,0.4,13,0.786,0.7889546351084813
NUTMEG,0.4,13,1.0,1.0
MACE,0.4,15,0.788,0.7791666666666667
NUTMEG,0.4,15,1.0,1.0
MACE,0.5,3,0.922,0.9287020109689214
NUTMEG,0.5,3,0.912,0.914396887159533
MACE,0.5,5,0.876,0.8872727272727273
NUTMEG,0.5,5,0.978,0.979890310786106
MACE,0.5,7,0.976,0.975103734439834
NUTMEG,0.5,7,0.994,0.9937888198757764
MACE,0.5,9,0.8,0.8127340823970037
NUTMEG,0.5,9,0.998,0.9981718464351006
MACE,0.5,10,0.98,0.9790794979079498
NUTMEG,0.5,10,1.0,1.0
MACE,0.5,11,0.788,0.7896825396825397
NUTMEG,0.5,11,0.998,0.9979550102249489
MACE,0.5,13,0.79,0.7920792079207921
NUTMEG,0.5,13,1.0,1.0
MACE,0.5,15,0.792,0.7833333333333333
NUTMEG,0.5,15,1.0,1.0
